,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
149,erdenet,100,MN,1564852191,80,49.03,104.04,58.98,3.91
150,vitim,8,RU,1564852192,91,59.44,112.57,46.56,3.02
151,bouar,35,CF,1564852192,90,5.94,15.59,68.88,2.66
152,calvinia,0,ZA,1564852192,50,-31.47,19.78,49.26,3.02
153,lebu,90,ET,1564852404,93,8.96,38.73,57.2,6.93
154,faxinal,0,BR,1564852193,26,-24.0,-51.32,64.92,4.45
155,pedasi,100,PA,1564852193,89,7.53,-80.03,75.54,3.29
156,cabo san lucas,20,MX,1564852223,49,22.89,-109.91,97.0,4.7
157,pangody,85,RU,1564852405,74,65.85,74.49,58.62,13.85
158,petropavl,16,KZ,1564852193,83,54.87,69.13,55.92,8.16
159,ostrovnoy,100,RU,1564852406,89,68.05,39.51,39.54,25.77
160,ratnagiri,100,IN,1564851962,83,16.98,73.3,81.66,25.97
161,ternate,75,PH,1564852194,88,14.29,120.72,84.99,3.36
162,nanortalik,55,GL,1564852406,69,60.14,-45.24,48.72,5.03
163,saurimo,0,AO,1564852194,19,-9.66,20.4,75.54,3.13
164,isangel,82,VU,1564852407,76,-19.55,169.27,70.5,23.22
165,bandarbeyla,83,SO,1564852194,66,9.49,50.81,78.96,24.87
166,vardo,75,US,1564852407,62,39.62,-77.74,88.0,4.7
167,chuy,17,UY,1564852407,54,-33.69,-53.46,51.06,16.4
168,ribeira grande,20,PT,1564852407,74,38.52,-28.7,78.8,13.87
169,noyabrsk,6,RU,1564852195,69,63.2,75.45,57.54,10.4
170,turan,0,RU,1564852195,93,52.15,93.92,55.38,2.98
171,ibra,44,OM,1564852196,25,22.69,58.55,97.14,5.26
172,ryotsu,90,JP,1564852196,88,38.08,138.43,77.0,3.36
173,mahebourg,40,MU,1564852408,64,-20.41,57.7,71.6,10.29
174,astana,0,KZ,1564852196,45,51.13,71.43,64.4,4.47
175,bogoslovka,49,RU,1564852196,67,56.8,86.72,59.34,4.0
176,trairi,24,BR,1564852197,38,-3.28,-39.27,91.74,7.56
177,xai-xai,0,MZ,1564852174,80,-25.04,33.64,69.24,5.12
178,port blair,84,IN,1564852197,81,11.67,92.75,82.2,23.89
179,chai badan,100,TH,1564852197,81,15.2,101.13,75.72,8.7
180,sedan,99,FR,1564852056,60,49.7,4.94,71.01,6.93
181,saldanha,0,PT,1564852198,24,41.42,-6.55,87.78,15.77
182,itoigawa,0,JP,1564852198,81,37.02,137.87,80.22,10.02
183,tuktoyaktuk,75,CA,1564852410,71,69.44,-133.03,57.2,17.22
184,sitka,88,US,1564852410,70,37.17,-99.65,84.0,11.01
185,hermanus,0,ZA,1564852410,79,-34.42,19.24,57.99,3.0
186,buraydah,0,SA,1564852198,17,26.33,43.97,100.4,11.41
187,kapit,91,MY,1564852199,98,2.02,112.94,73.38,0.63
188,luena,0,AO,1564852199,25,-11.78,19.91,68.16,4.14
189,kruisfontein,0,ZA,1564852411,93,-34.0,24.73,48.9,1.79
190,port elizabeth,75,US,1564852411,54,39.31,-74.98,88.0,3.85
191,kaoma,28,ZM,1564852199,35,-14.8,24.8,68.52,3.15
192,iralaya,40,HN,1564852200,70,15.0,-83.23,87.8,7.9
193,novikovo,77,RU,1564852200,73,51.15,37.89,57.18,3.47
194,sao gabriel da cachoeira,0,BR,1564852200,66,-0.13,-67.09,86.0,4.7
195,los llanos de aridane,20,ES,1564852200,61,28.66,-17.92,77.0,18.34
196,esperance,90,AU,1564852412,51,-33.86,121.89,59.0,6.93
197,moussoro,87,TD,1564852201,52,13.64,16.49,86.16,6.2
198,prince rupert,90,CA,1564852201,82,54.32,-130.32,59.0,2.24
199,harihar,100,IN,1564851993,84,14.52,75.8,72.12,17.4
200,torbay,40,CA,1564852413,49,47.66,-52.73,77.0,16.11
201,provideniya,98,RU,1564852413,81,64.42,-173.23,42.24,5.21
202,san cristobal,91,HN,1564852202,45,14.68,-86.92,86.16,6.93
203,kibaya,78,RW,1564852202,82,-2.2,30.56,66.0,15.01
204,cascais,20,PT,1564852202,73,38.7,-9.42,80.6,13.87
205,khuzdar,98,PK,1564852203,40,27.8,66.62,82.02,2.1
206,rapar,100,IN,1564852145,77,23.57,70.65,83.28,17.16
207,springdale,90,US,1564852203,100,36.19,-94.13,81.0,6.93
208,el vigia,5,MX,1564852203,49,26.85,-109.72,99.0,9.17
209,ulladulla,40,AU,1564852203,75,-35.36,150.48,46.99,11.41
210,severo-kurilsk,100,RU,1564852414,95,50.68,156.12,49.44,11.63
211,lakselv,86,NO,1564852204,71,70.05,24.96,60.8,11.41
212,namibe,98,AO,1564852414,83,-15.19,12.15,62.76,12.62
213,natal,20,BR,1564852204,58,-5.81,-35.21,84.2,19.46
214,houma,86,CN,1564852204,85,35.63,111.36,73.02,12.3
215,dudinka,0,RU,1564852205,63,69.41,86.18,60.8,11.18
216,vestmannaeyjar,75,IS,1564852415,87,63.44,-20.27,55.4,9.17
217,kavieng,100,PG,1564852415,83,-2.57,150.8,79.68,15.14
218,ketchikan,90,US,1564852205,87,55.34,-131.65,60.8,16.11
219,port hedland,98,AU,1564851913,54,-20.31,118.58,53.6,8.05
220,kahului,75,US,1564852403,65,20.89,-156.47,80.6,12.75
221,mangit,0,UZ,1564852205,30,40.6,70.96,84.2,9.17
222,fengcheng,78,CN,1564852206,99,40.45,124.07,72.3,3.65
223,turukhansk,57,RU,1564852206,56,65.8,87.96,64.02,15.86
224,grafton,0,AU,1564852207,100,-29.69,152.93,48.0,3.98
225,laguna,20,BZ,1564852416,74,16.17,-88.94,86.0,6.93
226,sao filipe,19,CV,1564852417,83,14.9,-24.5,75.0,19.44
227,kutum,86,SD,1564852207,49,14.2,24.66,76.8,2.62
228,puerto leguizamo,58,CO,1564852207,64,-0.19,-74.78,84.54,4.18
229,thinadhoo,100,MV,1564852207,81,0.53,72.93,83.28,15.05
230,khakhea,0,BW,1564852208,21,-24.69,23.5,65.64,6.55
231,sri aman,64,MY,1564852208,94,1.24,111.46,77.0,1.9
232,nizhnevartovsk,0,RU,1564852208,72,60.93,76.58,62.6,6.71
233,biloela,0,AU,1564852208,85,-24.4,150.51,50.7,6.13
234,salalah,90,OM,1564852418,94,17.01,54.1,78.8,5.82
235,nouakchott,0,MR,1564852209,55,18.08,-15.98,89.6,17.22
236,terrak,96,NO,1564852209,62,65.09,12.37,57.2,5.82
237,caravelas,0,BR,1564852418,76,-17.73,-39.27,74.64,11.3
238,nishihara,1,JP,1564852209,94,35.74,139.53,82.0,6.42
239,avarua,18,CK,1564852189,94,-21.21,-159.78,68.0,3.36
240,bambous virieux,40,MU,1564852419,64,-20.34,57.76,71.6,10.29
241,saint-francois,0,FR,1564852210,27,46.42,3.91,86.0,4.7
242,tuatapere,91,NZ,1564852419,58,-46.13,167.69,43.5,32.86
243,lompoc,1,US,1564852420,82,34.64,-120.46,72.0,8.05
244,imeni poliny osipenko,91,RU,1564852210,98,52.42,136.49,56.64,1.63
245,markova,0,RU,1564852211,100,52.21,104.21,64.4,2.24
246,eha amufu,47,NG,1564852211,91,6.65,7.77,70.5,4.94
247,hami,0,CN,1564852420,14,42.84,93.51,87.96,17.9
248,mar del plata,100,AR,1564852420,49,-46.43,-67.52,50.88,28.36
249,vanimo,99,PG,1564852211,79,-2.67,141.3,80.04,4.43
250,sidi ali,3,DZ,1564852211,92,36.1,0.42,75.72,15.75
251,sabang,100,PH,1564852212,95,13.8,121.11,75.0,6.15
252,tecoanapa,5,MX,1564852212,58,16.99,-99.26,87.8,2.8
253,bethel,90,US,1564852421,100,60.79,-161.76,57.2,21.92
254,zhigansk,22,RU,1564852421,61,66.77,123.37,47.1,1.41
255,skibbereen,75,IE,1564852213,93,51.55,-9.27,62.6,11.41
256,shimoda,16,JP,1564852213,88,34.7,138.93,81.0,1.59
257,floro,29,NO,1564852214,63,61.6,5.03,66.2,16.11
258,sobotin,57,CZ,1564852214,70,50.01,17.09,70.0,4.14
259,alugan,100,PH,1564852214,93,12.22,125.48,74.28,8.95
260,tabuk,83,PH,1564852214,97,17.41,121.44,64.2,1.74
261,carnot,49,CF,1564852214,92,4.94,15.87,71.76,3.06
262,curvelo,11,BR,1564852215,26,-18.76,-44.43,84.54,5.08
263,guantanamo,20,BO,1564852215,29,-16.14,-62.05,66.2,11.41
264,nome,40,US,1564852423,62,30.04,-94.42,91.0,3.36
265,havoysund,0,NO,1564852215,62,71.0,24.66,53.6,13.87
266,kudat,75,MY,1564852216,94,6.89,116.84,75.2,3.36
267,parfenyevo,46,RU,1564852216,97,58.48,43.41,45.12,4.92
268,ancud,90,CL,1564852216,100,-41.87,-73.83,46.4,9.17
269,norman wells,75,CA,1564852423,82,65.28,-126.83,57.2,5.82
270,kabare,66,RW,1564852216,91,-1.65,29.38,57.0,0.81
271,xuzhou,1,CN,1564852216,93,34.27,117.18,76.08,9.31
272,havre-saint-pierre,90,CA,1564851988,63,50.23,-63.6,66.2,6.93
